,PC1,PC2,TIME,VELOCITY,REPEAT,SIMULATOR,COMPRESSION_RATIO,PEAK_ASYMMETRY,NON_COPLANARITY
5543,61.58649558601887,-33.449737829230735,407.0,4.7,4,READDY,0.1408279180442712,0.0036710542486341,0.0036904474445478
7778,-694.7376969260241,219.84059797996838,995.0,150.0,2,READDY,0.3190135773351101,0.0049356226565155,0.0183915478943249
3984,-702.5411611000231,-79.90690989904877,0.03073,4.7,0,CYTOSIM,0.2913237581820838,0.0167363745603406,0.0006981366324387
3052,-463.39498575025056,-119.03345660096412,0.00784,15.0,3,CYTOSIM,0.2350570742790015,0.0042987512677342,0.000658328878314
3731,-378.1150341850003,-105.42154975633115,0.02261,4.7,2,CYTOSIM,0.214340626081378,0.0025863648457561,0.0003294196659406
553,165.56318128833362,-152.73003200226412,0.00036,150.0,4,CYTOSIM,0.1065100165466359,0.0036207421647547,0.0006631556772854
3832,-519.3315850049487,-12.278511548118416,0.025795,4.7,3,CYTOSIM,0.2445382805778632,0.0051855471339831,0.0012664318451835
3761,-425.8936170071068,-102.68116601563274,0.023565,4.7,2,CYTOSIM,0.223376164600795,0.0123820432970342,0.0004492460139557
7345,-622.9311409876835,162.66097597079317,884.0,4.7,1,READDY,0.2884350568883065,0.0265957365817027,0.0112886271713818
834,-139.16754974850832,-135.04344674843807,0.00056,150.0,0,CYTOSIM,0.1665300744492255,0.002060238553711,0.0003269200795708
7705,-711.764585408103,177.18175643034346,980.0,4.7,0,READDY,0.3180881279372162,0.0014149737608591,0.0135239974377714
2968,-355.39463013536215,-39.69029308250101,0.007185,15.0,4,CYTOSIM,0.2154811344628764,0.0287964625902887,0.0012658434364479
2097,-430.6118774995094,-111.43306206826227,0.0024,47.0,3,CYTOSIM,0.2272524054613888,0.0041790275463614,0.001193969051875
5348,513.8692530089608,304.73357818394504,352.0,150.0,4,READDY,0.1217930512672702,0.177858502606429,0.0034856080327734
39,1050.099460109333,86.49679124103241,5e-06,150.0,0,CYTOSIM,7.115058478868175e-05,0.1683397061983328,8.107292629134537e-06
1681,-13.950629251030483,-109.45872346503295,0.00146,47.0,2,CYTOSIM,0.1381110005346378,0.002882750519952,5.226947189039942e-05
7166,-563.9503572098816,104.3168986254718,834.0,47.0,3,READDY,0.2734106104561491,0.0045395081829558,0.0092277097766955
6915,-439.10994763227586,99.910105414914,769.0,15.0,4,READDY,0.2510120134920429,0.012967367740833,0.0086549323817361
2739,-145.85184492234805,-106.83075293445381,0.005475,15.0,0,CYTOSIM,0.1641106763190125,0.0100643460320412,2.5882369088166653e-05
4367,629.3904209218662,-22.753672052591632,95.0,15.0,1,READDY,0.0432236711148646,0.0097606977536737,0.0009441142496072
3993,-743.5536932206891,-45.54538083905008,0.03089,4.7,4,CYTOSIM,0.2928282842528409,0.007846865038382,0.0002062866945724
1410,-692.7899492195997,-27.585425955941343,0.000955,150.0,1,CYTOSIM,0.2850312414046185,0.0075548410526489,3.624168096942592e-05
5154,607.2095813905553,239.1755065452268,302.0,150.0,0,READDY,0.1059764947465932,0.1038743683947573,0.018095395350345
6109,-174.91934363272335,28.240025398992383,558.0,4.7,0,READDY,0.1860781575211108,0.0121318693876495,0.0050991532254138
4272,710.8041517354062,8.218863235161196,70.0,15.0,1,READDY,0.0353281091045714,0.0052350982725627,0.0007887434184736
5248,227.6738142938717,54.29931862370604,327.0,47.0,4,READDY,0.1162875007820261,0.0309468231620071,0.0050102842235995
6965,-479.1960168210523,107.9854334817015,784.0,4.7,1,READDY,0.256525188926557,0.0098073096332803,0.0087611446922167
3600,-202.28589999297748,-64.95080287228222,0.01847,4.7,1,CYTOSIM,0.175074568640124,0.0114429322296674,0.0002815827382586
3397,118.20164148002121,-93.87246590374451,0.01194,4.7,3,CYTOSIM,0.1131638041582077,0.003088505962024,5.24981101705196e-05
2538,89.27935228788759,-96.90005927431993,0.00392,15.0,4,CYTOSIM,0.1174859299076587,0.0230414826606077,2.3059007461116578e-05
2229,687.8707768648493,-78.48952916707633,0.002705,4.7,0,CYTOSIM,0.0256492972022903,0.0240117197187136,0.0001220308098596
5099,486.99831396881694,213.0998906569271,286.0,150.0,2,READDY,0.1019027009094468,0.0526635733877752,0.017185054557017
5433,97.96958457055378,-7.057058185509726,377.0,15.0,4,READDY,0.1301457596998143,0.0405155678298044,0.0021029270099887
6520,-298.91007056421546,43.19332621015991,663.0,47.0,3,READDY,0.2193028413134269,0.0232736001910879,0.0074352706599991
4299,985.4231952201716,46.64742241947971,75.0,150.0,0,READDY,0.0363366773092278,0.188535973213041,0.0028614427500142
4186,972.0178850670528,134.97759697127512,45.0,150.0,1,READDY,0.0274546718533715,0.0717000084626763,0.0022795961335995
2837,444.08686720579095,-131.1858602235477,0.00621,4.7,3,CYTOSIM,0.0588490116929814,0.0262651210785538,0.0006677269384976
7285,-495.9628845318924,125.10604584856685,864.0,150.0,3,READDY,0.2793414071119899,0.0544443381444867,0.0122000896324761
6724,-407.4487194452,21.332258766817098,719.0,15.0,3,READDY,0.2337267116531148,0.0241739781271856,0.0029541541610144
7444,-663.7097211698602,153.24599629169876,910.0,15.0,0,READDY,0.2935313333392648,0.0307237870269274,0.0101739335419664
3384,147.4749337937017,-120.34822729016665,0.011625,4.7,0,CYTOSIM,0.1101728489355134,0.0286182673344108,9.842128557365668e-05
3601,-181.2405656201268,-136.43675839837073,0.01847,4.7,2,CYTOSIM,0.1751694342561344,0.0030094402735957,0.0006282131659314
5942,-95.19232491051766,-29.800694285042475,513.0,4.7,4,READDY,0.1727166885097886,0.0148999853405401,0.0033766732185082
5502,58.86626270843362,-48.154796135474015,397.0,4.7,1,READDY,0.1357587588205661,0.0163785413379381,0.0008665082385085
130,807.0389300586736,-83.11301865127024,7e-05,150.0,1,CYTOSIM,0.0195130980182622,0.0067418330529996,0.0018351209917971
5576,388.13589302440454,344.25312765435643,412.0,150.0,4,READDY,0.1405107394906447,0.154419856338796,0.0069333982290196
4390,763.9711766862378,183.82482529408855,101.0,47.0,1,READDY,0.0465264389277787,0.1324267903185743,0.0055461195659885
6566,-348.84670278387256,45.66705219942601,678.0,4.7,1,READDY,0.2248606977853233,0.0135378472460234,0.0054533726472607
6104,-119.94785631620687,114.87505370831565,553.0,150.0,0,READDY,0.1833286641528433,0.0101702743248395,0.0109824479570701
2965,-376.8257674126726,-94.49719268452534,0.007185,15.0,1,CYTOSIM,0.2154407361188427,0.0115063917752789,1.7410745139291457e-05
3334,223.0513425288449,-101.2656466951164,0.01003,4.7,0,CYTOSIM,0.0950765414063937,0.0155280650100443,0.0001254167221359
311,789.7898916188565,98.47498683141414,0.000195,150.0,2,CYTOSIM,0.0571413789721355,0.147029435475674,0.000828378555096
325,935.9551761021535,-5.432081107937293,0.000205,47.0,1,CYTOSIM,0.0189861668151259,0.1891618427847265,0.000836123247737
2742,-147.21455638360555,-110.38616917301822,0.005475,15.0,3,CYTOSIM,0.1640983553050283,0.0105743580723282,0.0001090387669119
5426,74.72643215304953,-65.31868682226028,377.0,4.7,1,READDY,0.130738312249956,0.0101592168195723,0.0013506104866453
2569,56.74260323132867,-153.85948221314905,0.00417,15.0,0,CYTOSIM,0.1249610791682114,0.0092967290472526,0.0001974145141139
3630,-246.97419166739974,-116.21105539088072,0.019425,4.7,1,CYTOSIM,0.1841293589091774,0.0046932979445066,0.0001155536413337
2188,-514.0528974881256,-100.84037694758563,0.002605,47.0,4,CYTOSIM,0.2467095818515557,0.0068148345566189,0.0005720459138026
4216,792.6464142856589,90.0382211482774,55.0,15.0,3,READDY,0.0317618843335911,0.0450354182409932,0.002288861636879
4897,358.62374136572913,-33.89923517552429,236.0,4.7,4,READDY,0.0860708917344761,0.0304020559056852,0.0019605719931357
5037,254.4044665323894,-67.74313919371347,271.0,47.0,2,READDY,0.0995152336528372,0.006681968701106,0.0010387421260207
7293,-571.8518388067866,132.5186299355343,869.0,15.0,1,READDY,0.2817405950388395,0.0131071295098251,0.0083654869432397
2867,-292.49845298719026,-92.35772549916467,0.00643,15.0,3,CYTOSIM,0.1928148893530068,0.0045418383103723,2.599413494307309e-05
5997,-160.76470794332954,10.824629780418054,528.0,4.7,2,READDY,0.1786845877153976,0.0230387811298999,0.004510338456387
1570,113.16480316632236,-132.13449784711543,0.001225,47.0,1,CYTOSIM,0.1158397753225803,0.0158656224834785,5.7770801068032665e-05
1873,-238.69217386135327,-131.52430758839176,0.001905,47.0,4,CYTOSIM,0.1803185792153661,0.013503017920476,0.0002288399914688
2490,152.86291515607678,-137.9816614767412,0.00357,15.0,1,CYTOSIM,0.1070502297688957,0.0027632143180233,0.0001678098580421
3716,-360.68321351770516,-81.65639479615254,0.02213,4.7,2,CYTOSIM,0.2097782437474373,0.0042743393966887,3.3531437506980386e-05
5134,288.98779194371383,11.481514161832862,296.0,47.0,4,READDY,0.1063121264391979,0.041424319325437,0.0044293761278776
4801,354.1665388964316,-74.42653216759177,211.0,4.7,3,READDY,0.0792931479628371,0.0156336883287954,0.000694294499208
1604,76.98694969682819,-85.26239366141982,0.0013,47.0,0,CYTOSIM,0.122904944917412,0.0109083191794942,0.000565999009891
7349,-613.3152658748517,102.64590131567877,884.0,15.0,0,READDY,0.2849618281981466,0.0136044822715369,0.0074563486736315
2921,395.9106664775153,-68.218017100981,0.006845,4.7,2,CYTOSIM,0.0648751972142743,0.0083940662262396,0.0004046928683257
2481,651.9414673497946,-92.64710837730978,0.003505,4.7,2,CYTOSIM,0.0332490664152818,0.008267100899718,0.0004484708995242
3603,-200.27851548131875,-62.03402817504338,0.01847,4.7,4,CYTOSIM,0.1750939025065446,0.0053564240886795,0.0005300336195468
5317,190.89336337643007,69.18004275478276,347.0,15.0,1,READDY,0.1196701097409054,0.0319014899121289,0.0066813113505764
2827,-235.91175144448022,-119.24379265038661,0.00613,15.0,3,CYTOSIM,0.1837929499529178,0.011103345376355,3.5152173742411495e-05
5901,-104.38685543132964,14.448643255962018,503.0,4.7,1,READDY,0.1699950806109841,0.0164385179987888,0.0045781448614999
5001,339.93109919279823,47.363604520964955,261.0,47.0,4,READDY,0.0954766006239618,0.016371954773273,0.0053929801539235
7423,-653.1395300824372,160.89750665692694,905.0,4.7,3,READDY,0.2937215737283309,0.0292066506229867,0.0102897111190742
473,277.3373853370809,-141.158711658153,0.000305,150.0,4,CYTOSIM,0.0900520935118397,0.0256677143759105,0.0003296639427917
3577,-160.43798462534852,-136.2237440138325,0.017675,4.7,3,CYTOSIM,0.1675633303309708,0.0041644841817409,0.0004231019795336
4283,1008.2265488700612,93.70465865724114,70.0,150.0,3,READDY,0.0327858901114019,0.1909620934988469,2.9091206295683745e-05
