PCA1,PCA2,TIME,VELOCITY,REPEAT,SIMULATOR
-161.16141746588653,137.02244614520384,0.000375,150.0,3,CYTOSIM
-397.00502977219907,45.62716876412367,0.0023,15.0,4,CYTOSIM
-1058.3020075186037,-151.99546145097338,5e-05,15.0,3,CYTOSIM
652.5126329775067,-60.26494434304948,0.00925,15.0,1,CYTOSIM
694.4284795800963,-204.07209330419698,96.5,150.0,4,READDY
-277.8244326330911,-277.0261571193257,39.5,150.0,0,READDY
108.12527912844001,125.65375300898006,0.00054,150.0,3,CYTOSIM
-467.8008217084316,97.37968365808581,0.00586,4.7,2,CYTOSIM
-205.24089929459242,71.76523488168107,29.5,4.7,0,READDY
544.5640492441564,-141.47582251180916,84.0,4.7,2,READDY
617.997181461117,-27.034557530911002,0.00286,47.0,4,CYTOSIM
-182.74846845991564,117.88464139144992,0.00345,15.0,4,CYTOSIM
548.1278608015309,44.671321136048846,0.00085,150.0,4,CYTOSIM
618.8056161980737,-216.8775719499007,95.5,150.0,2,READDY
-296.6288572057183,92.76748956036192,0.00887,4.7,3,CYTOSIM
-887.040507770075,-292.71748753262705,11.5,150.0,2,READDY
430.8371936135006,-62.127969078244746,76.0,15.0,0,READDY
-599.9580155943029,-57.75242027346246,13.5,47.0,2,READDY
-72.77070490629967,59.38289362822616,39.0,4.7,1,READDY
-141.89224905685177,104.53759790119796,0.001155,47.0,0,CYTOSIM
-73.26093188939365,61.789274944051044,0.00131,47.0,4,CYTOSIM
230.68829427407496,-53.3593870029888,61.5,150.0,0,READDY
112.48376354962886,97.74542933728424,0.01711,4.7,1,CYTOSIM
-865.6431180144186,-146.80247600234622,4.0,47.0,4,READDY
137.45176069010745,107.42307154131538,0.017745,4.7,4,CYTOSIM
352.99844417130106,44.35309473983705,67.5,4.7,0,READDY
-44.91591846913386,56.92735465155317,41.0,4.7,1,READDY
372.57926732472646,67.54701141480552,0.00071,150.0,0,CYTOSIM
-247.41183951060833,98.10084437368289,0.009665,4.7,3,CYTOSIM
-240.28481845785575,110.14530056709089,28.5,4.7,0,READDY
-554.1788314516214,49.15879243817187,0.00046,47.0,1,CYTOSIM
-648.933184706148,57.57079457063992,0.00035,47.0,2,CYTOSIM
-333.91802519840064,121.5040363024583,0.0026,15.0,3,CYTOSIM
614.6878865691285,51.55164193182941,0.0091,15.0,4,CYTOSIM
436.11983865044493,56.928071950944286,0.0076,15.0,2,CYTOSIM
696.5459648080948,-186.47984199543498,97.5,150.0,4,READDY
-1042.3910642704595,-139.04284892475823,3e-05,47.0,4,CYTOSIM
464.22731927419835,-91.97846889754635,78.0,47.0,4,READDY
-206.39524309392368,73.04301333547244,31.0,15.0,0,READDY
647.7170629184068,50.2787272886776,0.000935,150.0,0,CYTOSIM
-713.468705583208,29.061344348529133,0.002535,4.7,2,CYTOSIM
-854.935092131353,-75.92343241893013,0.0004,15.0,3,CYTOSIM
721.758112274799,18.073337373230174,0.03121,4.7,1,CYTOSIM
370.6868203636049,95.31633351212201,0.0071,15.0,2,CYTOSIM
77.28833714418465,45.079115914642784,50.5,15.0,1,READDY
458.15624094712456,62.33721806406959,0.000785,150.0,0,CYTOSIM
-787.7700446452739,-262.32108998965396,22.5,150.0,0,READDY
521.5069182401435,-89.96017734882412,81.5,15.0,2,READDY
138.31789815373452,4.147503927269668,53.5,4.7,4,READDY
-637.8543175921816,107.22060287443458,8.5,4.7,4,READDY
496.6747331003468,59.04846755262372,0.025665,4.7,2,CYTOSIM
-336.9570596786674,137.13284098857264,0.00027,150.0,0,CYTOSIM
302.7346159057203,45.88192369491594,0.002135,47.0,3,CYTOSIM
-782.4281213793597,-30.7674876081021,4.0,15.0,1,READDY
610.3918060526346,-81.6447400977662,87.0,47.0,4,READDY
-469.9406483364188,130.57798671646435,15.5,15.0,2,READDY
504.90243761188145,-132.26394590173913,82.5,15.0,2,READDY
376.708349731543,50.22364397344097,0.002275,47.0,4,CYTOSIM
455.44153377210245,74.07431642052154,0.000785,150.0,2,CYTOSIM
-496.4629633463902,70.24186033635067,0.00185,15.0,2,CYTOSIM
426.0342682321355,-68.77760869023814,77.0,150.0,0,READDY
-205.68434196769755,26.099987326162477,33.0,15.0,0,READDY
429.9254398921259,-93.11188918642802,75.5,47.0,4,READDY
-777.0235222331276,11.82475651784273,0.000205,47.0,0,CYTOSIM
447.07493062701445,43.112890664361544,0.024395,4.7,2,CYTOSIM
680.501232294723,18.816694462698138,0.03026,4.7,1,CYTOSIM
-70.51908209990472,48.641981456786766,40.0,15.0,4,READDY
-114.48795923443691,68.37366324671234,37.5,15.0,3,READDY
41.884782674316796,130.45282969694415,0.0048,15.0,2,CYTOSIM
563.0462064996595,3.218794868107693,0.02693,4.7,1,CYTOSIM
585.0923804436675,-19.10353032445198,0.000895,150.0,1,CYTOSIM
650.5543379985572,-35.76632848035649,0.00294,47.0,4,CYTOSIM
-431.21128377779655,41.126736607193266,19.0,15.0,4,READDY
615.5899471060968,24.126892466488584,0.00915,15.0,4,CYTOSIM
254.53883197595582,55.103778407936375,0.00064,150.0,0,CYTOSIM
520.424729405996,-75.75455757973691,81.0,150.0,1,READDY
-906.124423110613,-53.08497667500103,0.00079,4.7,0,CYTOSIM
207.46425121922834,36.48696661537224,56.5,4.7,0,READDY
-282.3668250919272,108.11208139609255,0.0029,15.0,3,CYTOSIM
-805.6056192858705,-13.771700826544702,7e-05,150.0,0,CYTOSIM
720.5318124925109,-28.4990202382254,0.0099,15.0,4,CYTOSIM
